company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
CUPRA,Born 77 kWh e-Boost,Rear Wheel Drive,C,4,"£39,625",280 mi,275 Wh/mi,"1,946 kg",7.0 sec,303 mi,77.0 kWh,115 kW,0 kg,385 L,£142 /mi
Mercedes-Benz,EQE 350+(MY24),Rear Wheel Drive,E,5,"£68,360",345 mi,278 Wh/mi,"2,415 kg",6.5 sec,371 mi,96.0 kWh,141 kW,750 kg,430 L,£198 /mi
Audi,e-tron GT S,All Wheel Drive,F,4,"£107,825",335 mi,290 Wh/mi,"2,385 kg",3.4 sec,442 mi,97.0 kWh,281 kW,0 kg,482 L,£322 /mi
Mercedes-Benz,EQC 400 4MATIC,All Wheel Drive,D,5,"£65,720",230 mi,348 Wh/mi,"2,495 kg",5.1 sec,227 mi,80.0 kWh,100 kW,"1,800 kg",500 L,£286 /mi
Nissan,LEAF e+ 62 kWh(MY19-22),Front Wheel Drive,C,5,"£32,945",215 mi,274 Wh/mi,"1,756 kg",7.3 sec,185 mi,59.0 kWh,44 kW,0 kg,420 L,£153 /mi
Peugeot,e-208 50 kWh(MY25),Front Wheel Drive,B,5,"£29,450",210 mi,242 Wh/mi,"1,530 kg",8.2 sec,223 mi,50.8 kWh,85 kW,0 kg,309 L,£140 /mi
Lotus,Eletre,All Wheel Drive,F,5,"£90,805",305 mi,357 Wh/mi,"2,565 kg",4.5 sec,375 mi,109.0 kWh,259 kW,"2,250 kg",657 L,£298 /mi
Volkswagen,ID.7 Tourer Pro(MY24-25),Rear Wheel Drive,E,5,"£52,240",290 mi,266 Wh/mi,"2,191 kg",6.6 sec,332 mi,77.0 kWh,125 kW,"1,000 kg",605 L,£180 /mi
Volkswagen,ID. Buzz SWB Pro,Rear Wheel Drive,N,6,"£59,035",230 mi,343 Wh/mi,"2,492 kg",7.6 sec,252 mi,79.0 kWh,135 kW,"1,200 kg","1,121 L",£257 /mi
Honda,e,Rear Wheel Drive,B,4,"£34,365",105 mi,271 Wh/mi,"1,588 kg",9.0 sec,105 mi,28.5 kWh,32 kW,0 kg,171 L,£327 /mi
BMW,i5 eDrive40 Touring(MY25),Rear Wheel Drive,E,5,"£69,955",290 mi,280 Wh/mi,"2,255 kg",6.1 sec,329 mi,81.2 kWh,136 kW,"1,500 kg",570 L,£241 /mi
Smart,#5 Brabus(MY25),All Wheel Drive,D,5,"£51,800",280 mi,336 Wh/mi,"2,453 kg",3.8 sec,349 mi,94.0 kWh,230 kW,"1,600 kg",677 L,£185 /mi
Tesla,Model S Dual Motor,All Wheel Drive,F,5,"£85,000 *",355 mi,268 Wh/mi,"2,170 kg",3.2 sec,406 mi,95.0 kWh,140 kW,"1,600 kg",798 L,£239 /mi
Smart,#1 Pro+,Rear Wheel Drive,B,5,"£36,960",205 mi,302 Wh/mi,"1,863 kg",6.7 sec,226 mi,62.0 kWh,100 kW,"1,600 kg",338 L,£180 /mi
Vauxhall,Corsa Electric 51 kWh(MY24),Front Wheel Drive,B,5,"£30,440",195 mi,247 Wh/mi,"1,544 kg",8.1 sec,212 mi,48.1 kWh,80 kW,0 kg,267 L,£156 /mi
BMW,iX2 eDrive20,Front Wheel Drive,C,5,"£51,615",245 mi,264 Wh/mi,"1,960 kg",8.6 sec,265 mi,64.7 kWh,93 kW,750 kg,525 L,£211 /mi
Polestar,3 Dual Motor(MY26),All Wheel Drive,E,5,"£77,990",310 mi,329 Wh/mi,"2,565 kg",4.7 sec,367 mi,102.0 kWh,200 kW,"2,200 kg",508 L,£252 /mi
Polestar,2,All Wheel Drive,D,5,"£49,900",240 mi,313 Wh/mi,"2,198 kg",4.7 sec,260 mi,75.0 kWh,108 kW,"1,500 kg",440 L,£208 /mi
Tesla,Model X Long Range,All Wheel Drive,F,7,"£82,980",275 mi,345 Wh/mi,"2,505 kg",4.6 sec,288 mi,95.0 kWh,110 kW,"2,250 kg",unknown,£302 /mi
Porsche,Taycan 4S,All Wheel Drive,F,5,"£86,500",245 mi,290 Wh/mi,"2,215 kg",4.0 sec,315 mi,71.0 kWh,183 kW,0 kg,491 L,£353 /mi
Volvo,EX90 Twin Motor(MY24-25),All Wheel Drive,F,7,"£89,560",310 mi,345 Wh/mi,"2,754 kg",5.9 sec,339 mi,107.0 kWh,150 kW,"2,200 kg",703 L,£289 /mi
Audi,A6 Sportback e-tron,Rear Wheel Drive,E,5,"£62,540",300 mi,253 Wh/mi,"2,175 kg",6.0 sec,365 mi,75.8 kWh,150 kW,"2,100 kg",529 L,£208 /mi
Subaru,Solterra AWD,All Wheel Drive,C,5,"£49,995",200 mi,320 Wh/mi,"2,085 kg",6.9 sec,216 mi,64.0 kWh,100 kW,750 kg,441 L,£250 /mi
Vauxhall,Grandland Electric 73 kWh,Front Wheel Drive,C,5,"£35,455",230 mi,317 Wh/mi,"2,207 kg",9.0 sec,241 mi,73.0 kWh,90 kW,"1,200 kg",550 L,£154 /mi
Jeep,Compass Electric 74 kWh,Front Wheel Drive,C,5,"£39,200",230 mi,322 Wh/mi,"2,198 kg",8.5 sec,240 mi,74.0 kWh,90 kW,"1,000 kg",550 L,£170 /mi
Mercedes-Benz,EQA 250,Front Wheel Drive,C,5,"£47,510",220 mi,302 Wh/mi,"2,040 kg",8.9 sec,229 mi,66.5 kWh,100 kW,750 kg,340 L,£216 /mi
Volvo,C40 Recharge Twin Motor(MY24),All Wheel Drive,C,5,"£53,605",250 mi,316 Wh/mi,"2,185 kg",4.7 sec,275 mi,79.0 kWh,125 kW,"1,800 kg",450 L,£214 /mi
Mini,Cooper E,Front Wheel Drive,B,4,"£30,000",155 mi,236 Wh/mi,"1,615 kg",7.3 sec,166 mi,36.6 kWh,60 kW,0 kg,200 L,£194 /mi
Renault,5 E-Tech 40kWh 95hp,Front Wheel Drive,B,5,"£20,500 *",160 mi,250 Wh/mi,"1,428 kg",12.0 sec,117 mi,40.0 kWh,0 kW,500 kg,326 L,£128 /mi
Renault,Zoe R110 ZE40,Front Wheel Drive,B,5,"£24,320",155 mi,265 Wh/mi,"1,575 kg",11.4 sec,113 mi,41.0 kWh,0 kW,0 kg,338 L,£157 /mi
Peugeot,e-208(MY20-21),Front Wheel Drive,B,5,"£27,225",165 mi,281 Wh/mi,"1,530 kg",8.1 sec,183 mi,46.3 kWh,78 kW,0 kg,265 L,£165 /mi
BMW,i5 eDrive40 Touring,Rear Wheel Drive,E,5,"£69,945",285 mi,285 Wh/mi,"2,255 kg",6.1 sec,324 mi,81.2 kWh,136 kW,"1,500 kg",570 L,£245 /mi
Volkswagen,ID.3 GTX Performance(MY24-26),Rear Wheel Drive,C,5,"£46,325",290 mi,272 Wh/mi,"1,993 kg",5.6 sec,327 mi,79.0 kWh,135 kW,0 kg,385 L,£160 /mi
Citroën,ë-C3 Aircross Comfort Range 44 kWh,Front Wheel Drive,B,5,"£21,595",150 mi,292 Wh/mi,"1,579 kg",12.9 sec,157 mi,43.8 kWh,60 kW,350 kg,460 L,£144 /mi
Hyundai,IONIQ 9 Performance AWD,All Wheel Drive,F,7,"£77,595",300 mi,353 Wh/mi,"2,689 kg",5.2 sec,342 mi,106.0 kWh,195 kW,"2,500 kg",390 L,£259 /mi
Tesla,Model S P100D,All Wheel Drive,F,5,"£127,750",295 mi,322 Wh/mi,"2,316 kg",2.7 sec,296 mi,95.0 kWh,100 kW,0 kg,895 L,£433 /mi
Tesla,Model S Long Range,All Wheel Drive,F,5,"£74,980",325 mi,292 Wh/mi,"2,255 kg",3.8 sec,349 mi,95.0 kWh,110 kW,0 kg,894 L,£231 /mi
Tesla,Model X Dual Motor,All Wheel Drive,F,7,"£105,000 *",300 mi,317 Wh/mi,"2,415 kg",3.9 sec,335 mi,95.0 kWh,140 kW,"2,250 kg",608 L,£350 /mi
Volkswagen,ID.4 Pure,Rear Wheel Drive,C,5,"£38,845",175 mi,297 Wh/mi,"1,966 kg",10.9 sec,187 mi,52.0 kWh,70 kW,"1,000 kg",543 L,£222 /mi
Genesis,GV60 Premium(MY22-24),Rear Wheel Drive,C,5,"£53,905",240 mi,308 Wh/mi,"1,975 kg",7.8 sec,303 mi,74.0 kWh,200 kW,"1,600 kg",432 L,£225 /mi
Polestar,2 Standard Range Single Motor(MY24),Rear Wheel Drive,D,5,"£44,950",250 mi,268 Wh/mi,"2,019 kg",6.4 sec,265 mi,67.0 kWh,85 kW,"1,500 kg",446 L,£180 /mi
BMW,i7 eDrive50,Rear Wheel Drive,F,5,"£100,205",325 mi,313 Wh/mi,"2,595 kg",5.5 sec,355 mi,101.7 kWh,159 kW,0 kg,500 L,£308 /mi
Smart,#3 Premium,Rear Wheel Drive,B,5,"£40,660",220 mi,282 Wh/mi,"1,885 kg",5.8 sec,245 mi,62.0 kWh,110 kW,"1,600 kg",385 L,£185 /mi
Vauxhall,Mokka Electric,Front Wheel Drive,B,5,"£31,005",175 mi,290 Wh/mi,"1,615 kg",9.0 sec,189 mi,50.8 kWh,85 kW,0 kg,310 L,£177 /mi
Smart,EQ fortwo coupe,Rear Wheel Drive,A,2,"£22,225",60 mi,278 Wh/mi,"1,095 kg",11.6 sec,44 mi,16.7 kWh,0 kW,0 kg,260 L,£370 /mi
Nissan,LEAF 40 kWh(MY18-22),Front Wheel Drive,C,5,"£28,290",145 mi,269 Wh/mi,"1,580 kg",7.9 sec,135 mi,39.0 kWh,40 kW,0 kg,435 L,£195 /mi
MG,MG5 EV,Front Wheel Drive,C,5,"£26,095",180 mi,271 Wh/mi,"1,607 kg",7.7 sec,180 mi,48.8 kWh,60 kW,0 kg,464 L,£145 /mi
Polestar,3 Long Range Dual motor(MY23-25),All Wheel Drive,E,5,"£75,900",320 mi,334 Wh/mi,"2,654 kg",5.0 sec,345 mi,107.0 kWh,150 kW,"2,200 kg",516 L,£237 /mi
Mercedes-Benz,G 580,All Wheel Drive,F,5,"£180,860",245 mi,473 Wh/mi,"3,085 kg",4.7 sec,245 mi,116.0 kWh,150 kW,0 kg,555 L,£738 /mi
Audi,Q4 e-tron 35,Rear Wheel Drive,C,5,"£44,690",175 mi,297 Wh/mi,"1,965 kg",9.0 sec,187 mi,52.0 kWh,70 kW,0 kg,520 L,£255 /mi
Kia,e-Niro 64 kWh,Front Wheel Drive,C,5,"£33,850",230 mi,278 Wh/mi,"1,812 kg",7.8 sec,217 mi,64.0 kWh,64 kW,0 kg,451 L,£147 /mi
Volkswagen,ID.3 Pro Performance,Rear Wheel Drive,C,5,"£39,425",215 mi,270 Wh/mi,"1,812 kg",7.3 sec,233 mi,58.0 kWh,82 kW,0 kg,385 L,£183 /mi
Lotus,Emeya S,All Wheel Drive,F,5,"£108,755",325 mi,304 Wh/mi,"2,555 kg",4.2 sec,413 mi,98.9 kWh,240 kW,"2,250 kg",543 L,£335 /mi
Alpine,A290 Electric 180 hp,Front Wheel Drive,B,5,"£32,000",190 mi,274 Wh/mi,"1,554 kg",7.4 sec,201 mi,52.0 kWh,70 kW,500 kg,326 L,£168 /mi
Audi,Q4 e-tron 40,Rear Wheel Drive,C,5,"£46,610",200 mi,295 Wh/mi,"2,035 kg",8.1 sec,235 mi,59.0 kWh,110 kW,"1,000 kg",520 L,£233 /mi
Vauxhall,Corsa Electric 54 kWh(MY25),Front Wheel Drive,B,5,"£27,400",205 mi,248 Wh/mi,"1,544 kg",8.1 sec,222 mi,50.8 kWh,85 kW,0 kg,267 L,£134 /mi
Smart,#1 Premium,Rear Wheel Drive,B,5,"£39,660",205 mi,302 Wh/mi,"1,875 kg",6.7 sec,226 mi,62.0 kWh,100 kW,"1,600 kg",338 L,£193 /mi
Volvo,EX40 Single Motor(MY25),Rear Wheel Drive,C,5,"£45,955",215 mi,312 Wh/mi,"2,040 kg",7.3 sec,238 mi,67.0 kWh,110 kW,"1,500 kg",441 L,£214 /mi
Suzuki,e VITARA 61 kWh 2WD,Front Wheel Drive,B,5,"£32,999",205 mi,292 Wh/mi,"1,835 kg",8.7 sec,191 mi,59.8 kWh,60 kW,750 kg,238 L,£161 /mi
Hyundai,Kona Electric 39 kWh,Front Wheel Drive,B,5,"£32,450",150 mi,261 Wh/mi,"1,610 kg",9.9 sec,139 mi,39.2 kWh,37 kW,0 kg,332 L,£216 /mi
Peugeot,e-208 51 kWh(MY24),Front Wheel Drive,B,5,"£32,400",195 mi,247 Wh/mi,"1,530 kg",8.2 sec,212 mi,48.1 kWh,80 kW,0 kg,309 L,£166 /mi
Škoda,Enyaq 60(MY24),Rear Wheel Drive,C,5,"£38,970",210 mi,276 Wh/mi,"1,992 kg",8.7 sec,224 mi,58.0 kWh,82 kW,"1,000 kg",585 L,£186 /mi
Volkswagen,ID.3 Pro S(MY24-25),Rear Wheel Drive,C,5,"£35,495",290 mi,266 Wh/mi,"1,957 kg",7.1 sec,318 mi,77.0 kWh,120 kW,0 kg,385 L,£122 /mi
Škoda,Enyaq Coupe vRS(MY25),All Wheel Drive,C,5,"£53,860",290 mi,272 Wh/mi,"2,239 kg",5.4 sec,332 mi,79.0 kWh,135 kW,"1,200 kg",570 L,£186 /mi
Alpine,A390 GT,All Wheel Drive,D,5,"£60,000 *",290 mi,307 Wh/mi,"2,199 kg",4.8 sec,302 mi,89.0 kWh,120 kW,"1,350 kg",532 L,£207 /mi
Mercedes-Benz,B 250e,Front Wheel Drive,C,5,"£28,875",90 mi,311 Wh/mi,"1,725 kg",7.9 sec,66 mi,28.0 kWh,0 kW,unknown,501 L,£321 /mi
Audi,e-tron GT quattro,All Wheel Drive,F,4,"£87,800",260 mi,327 Wh/mi,"2,350 kg",4.1 sec,329 mi,85.0 kWh,216 kW,0 kg,490 L,£338 /mi
Volkswagen,e-Up!,Front Wheel Drive,A,4,"£24,085",125 mi,258 Wh/mi,"1,248 kg",11.9 sec,117 mi,32.3 kWh,30 kW,0 kg,250 L,£193 /mi
GWM,ORA 03 Pure+,Front Wheel Drive,C,5,"£31,995",160 mi,284 Wh/mi,"1,615 kg",8.3 sec,153 mi,45.4 kWh,45 kW,0 kg,228 L,£200 /mi
Toyota,Proace Verso Medium 75 kWh,Front Wheel Drive,N,9,"£45,769",165 mi,418 Wh/mi,"2,211 kg",13.3 sec,157 mi,69.0 kWh,79 kW,"1,000 kg",603 L,£277 /mi
DS Automobiles,N°8 FWD Long Range,Front Wheel Drive,D,5,"£54,690",340 mi,286 Wh/mi,"2,255 kg",7.8 sec,352 mi,97.2 kWh,130 kW,"1,200 kg",620 L,£161 /mi
Lotus,Emeya 600,All Wheel Drive,F,5,"£84,990",325 mi,304 Wh/mi,"2,555 kg",4.2 sec,413 mi,98.9 kWh,240 kW,"2,250 kg",543 L,£262 /mi
Mercedes-Benz,EQB 350 4MATIC,All Wheel Drive,C,7,"£56,810",215 mi,309 Wh/mi,"2,165 kg",6.2 sec,222 mi,66.5 kWh,100 kW,"1,700 kg",495 L,£264 /mi
Škoda,Enyaq Coupe 85(MY24),Rear Wheel Drive,C,5,"£46,440",285 mi,270 Wh/mi,"2,140 kg",6.7 sec,301 mi,77.0 kWh,120 kW,"1,000 kg",570 L,£163 /mi
Porsche,Taycan,Rear Wheel Drive,F,5,"£75,500",255 mi,278 Wh/mi,"2,125 kg",5.4 sec,321 mi,71.0 kWh,183 kW,0 kg,491 L,£296 /mi
Nissan,LEAF 40 kWh(MY23-25),Front Wheel Drive,C,5,"£28,495",145 mi,269 Wh/mi,"1,580 kg",7.9 sec,135 mi,39.0 kWh,40 kW,0 kg,435 L,£197 /mi
Smart,#1 Brabus,All Wheel Drive,B,5,"£44,960",200 mi,310 Wh/mi,"1,975 kg",3.9 sec,222 mi,62.0 kWh,100 kW,"1,600 kg",328 L,£225 /mi
Audi,Q4 Sportback e-tron 45,Rear Wheel Drive,C,5,"£52,810",270 mi,285 Wh/mi,"2,145 kg",6.7 sec,301 mi,77.0 kWh,120 kW,"1,000 kg",535 L,£196 /mi
Alfa Romeo,Junior Elettrica 54 kWh,Front Wheel Drive,B,5,"£33,895",195 mi,261 Wh/mi,"1,620 kg",9.0 sec,212 mi,50.8 kWh,85 kW,0 kg,400 L,£174 /mi
Citroën,ë-C4 54 kWh,Front Wheel Drive,C,5,"£30,005",200 mi,254 Wh/mi,"1,646 kg",9.1 sec,216 mi,50.8 kWh,78 kW,0 kg,380 L,£150 /mi
Volkswagen,ID.5 Pro(MY26),Rear Wheel Drive,C,5,"£44,400",285 mi,270 Wh/mi,"2,131 kg",6.7 sec,316 mi,77.0 kWh,120 kW,"1,000 kg",549 L,£156 /mi
Kia,EV6 GT,All Wheel Drive,C,5,"£59,985",245 mi,327 Wh/mi,"2,220 kg",3.5 sec,303 mi,80.0 kWh,205 kW,"1,800 kg",500 L,£245 /mi
Škoda,Enyaq Coupe 85(MY25),Rear Wheel Drive,C,5,"£44,710",290 mi,266 Wh/mi,"2,140 kg",6.7 sec,306 mi,77.0 kWh,120 kW,"1,000 kg",570 L,£154 /mi
Audi,e-tron GT quattro,All Wheel Drive,F,4,"£88,555",335 mi,290 Wh/mi,"2,355 kg",4.0 sec,442 mi,97.0 kWh,281 kW,0 kg,482 L,£264 /mi
Volkswagen,ID.7 Tourer Pro(MY26),Rear Wheel Drive,E,5,"£51,795",290 mi,266 Wh/mi,"2,191 kg",6.6 sec,332 mi,77.0 kWh,125 kW,"1,000 kg",605 L,£179 /mi
Renault,Kangoo Crew Van ZE33,Front Wheel Drive,N,5,"£31,680",100 mi,310 Wh/mi,"1,630 kg",22.4 sec,71 mi,31.0 kWh,0 kW,0 kg,"1,300 L",£317 /mi
Volkswagen,ID.3 Pure Performance,Rear Wheel Drive,C,5,"£28,135",170 mi,265 Wh/mi,"1,781 kg",8.9 sec,186 mi,45.0 kWh,72 kW,0 kg,385 L,£166 /mi
Audi,e-tron 50 quattro,All Wheel Drive,E,5,"£62,035",175 mi,370 Wh/mi,"2,445 kg",6.8 sec,186 mi,64.7 kWh,114 kW,"1,800 kg",660 L,£354 /mi
BMW,i4 eDrive35,Rear Wheel Drive,D,5,"£51,270",265 mi,253 Wh/mi,"2,075 kg",6.0 sec,302 mi,67.1 kWh,95 kW,"1,600 kg",470 L,£193 /mi
Volvo,EX40 Single Motor ER(MY26),Rear Wheel Drive,C,5,"£48,010",245 mi,322 Wh/mi,"2,075 kg",7.3 sec,274 mi,79.0 kWh,125 kW,"1,500 kg",441 L,£196 /mi
Ford,e-Tourneo Custom L1 160 kW,Rear Wheel Drive,N,8,"£60,886",145 mi,441 Wh/mi,"2,557 kg",9.0 sec,145 mi,64.0 kWh,70 kW,"2,000 kg",672 L,£420 /mi
Kia,EV6 Standard Range RWD,Rear Wheel Drive,C,5,"£39,235",215 mi,279 Wh/mi,"1,955 kg",8.7 sec,264 mi,60.0 kWh,150 kW,750 kg,542 L,£182 /mi
Mercedes-Benz,EQE 350+(MY25),All Wheel Drive,E,5,"£69,365",320 mi,283 Wh/mi,"2,475 kg",5.9 sec,350 mi,90.6 kWh,141 kW,"1,700 kg",430 L,£217 /mi
Kia,EV6 GT,All Wheel Drive,C,5,"£62,645",220 mi,336 Wh/mi,"2,200 kg",3.5 sec,279 mi,74.0 kWh,200 kW,"1,800 kg",500 L,£285 /mi
BYD,DOLPHIN 44.9 kWh Boost(MY24),Front Wheel Drive,C,5,"£27,195",160 mi,281 Wh/mi,"1,700 kg",8.0 sec,155 mi,44.9 kWh,50 kW,0 kg,345 L,£170 /mi
Volvo,EX90 Single Motor(MY24-25),Rear Wheel Drive,F,7,"£82,660",300 mi,333 Wh/mi,"2,582 kg",8.4 sec,326 mi,100.0 kWh,140 kW,"1,200 kg",703 L,£276 /mi
Citroën,ë-C4,Front Wheel Drive,C,5,"£26,150",175 mi,265 Wh/mi,"1,646 kg",9.9 sec,193 mi,46.3 kWh,78 kW,0 kg,380 L,£149 /mi
Audi,A6 Avant e-tron quattro,All Wheel Drive,E,5,"£76,840",345 mi,275 Wh/mi,"2,370 kg",4.5 sec,421 mi,94.9 kWh,200 kW,"2,100 kg",529 L,£223 /mi
Fiat,500e Hatchback 24 kWh,Front Wheel Drive,B,4,"£24,995",85 mi,251 Wh/mi,"1,255 kg",9.0 sec,95 mi,21.3 kWh,40 kW,0 kg,185 L,£294 /mi
Mercedes-Benz,EQA 250+,Front Wheel Drive,C,5,"£49,750",260 mi,271 Wh/mi,"2,045 kg",8.6 sec,257 mi,70.5 kWh,90 kW,750 kg,340 L,£191 /mi
Tesla,Model S 100D,All Wheel Drive,F,5,"£89,650",300 mi,317 Wh/mi,"2,290 kg",4.3 sec,302 mi,95.0 kWh,100 kW,0 kg,895 L,£299 /mi
Mazda,MX-30,Front Wheel Drive,C,5,"£31,250",105 mi,286 Wh/mi,"1,720 kg",9.7 sec,104 mi,30.0 kWh,32 kW,0 kg,366 L,£298 /mi
Smart,#3 Pro+,Rear Wheel Drive,B,5,"£37,960",220 mi,282 Wh/mi,"1,855 kg",5.8 sec,247 mi,62.0 kWh,110 kW,"1,600 kg",385 L,£173 /mi
Porsche,Taycan Plus,Rear Wheel Drive,F,5,"£90,954",360 mi,269 Wh/mi,"2,245 kg",4.8 sec,466 mi,97.0 kWh,262 kW,0 kg,491 L,£253 /mi
Volkswagen,ID. Buzz SWB GTX,All Wheel Drive,N,6,"£67,435",220 mi,359 Wh/mi,"2,629 kg",6.5 sec,245 mi,79.0 kWh,135 kW,"1,800 kg","1,121 L",£307 /mi
Polestar,3 Long Range Single motor(MY23-25),Rear Wheel Drive,E,5,"£69,900",330 mi,324 Wh/mi,"2,478 kg",7.8 sec,355 mi,107.0 kWh,150 kW,"1,500 kg",516 L,£212 /mi
Ford,Mustang Mach-E Select SR RWD(MY24),Rear Wheel Drive,D,5,"£43,840",235 mi,309 Wh/mi,"2,166 kg",6.2 sec,254 mi,72.6 kWh,100 kW,750 kg,619 L,£187 /mi
Lexus,RZ 350e(MY26),Front Wheel Drive,D,5,"£53,995",250 mi,288 Wh/mi,"2,005 kg",7.5 sec,269 mi,72.0 kWh,110 kW,750 kg,522 L,£216 /mi
Nissan,e-NV200 Combi,Front Wheel Drive,N,7,"£24,407",65 mi,338 Wh/mi,"1,614 kg",14.0 sec,70 mi,22.0 kWh,36 kW,unknown,"2,000 L",£375 /mi
BMW,i7 xDrive60,All Wheel Drive,F,5,"£113,970",315 mi,323 Wh/mi,"2,715 kg",4.7 sec,350 mi,101.7 kWh,159 kW,"2,000 kg",500 L,£362 /mi
Audi,S6 Sportback e-tron,All Wheel Drive,E,5,"£97,540",345 mi,275 Wh/mi,"2,400 kg",3.9 sec,419 mi,94.9 kWh,200 kW,"2,100 kg",529 L,£283 /mi
BMW,iX M70 xDrive,All Wheel Drive,E,5,"£114,205",310 mi,351 Wh/mi,"2,655 kg",3.8 sec,326 mi,108.9 kWh,150 kW,"2,500 kg",500 L,£368 /mi
BMW,i5 M60 xDrive Saloon(MY25),All Wheel Drive,E,5,"£97,755",265 mi,306 Wh/mi,"2,370 kg",3.8 sec,303 mi,81.2 kWh,136 kW,"2,000 kg",490 L,£369 /mi
Volkswagen,ID.3 Pure Performance,Rear Wheel Drive,C,5,"£27,120",170 mi,265 Wh/mi,"1,772 kg",8.9 sec,157 mi,45.0 kWh,45 kW,0 kg,385 L,£160 /mi
Lexus,UX 300e,Front Wheel Drive,C,5,"£34,770",145 mi,310 Wh/mi,"1,860 kg",7.5 sec,124 mi,45.0 kWh,32 kW,0 kg,316 L,£240 /mi
Peugeot,e-308(MY23-25),Front Wheel Drive,C,5,"£33,460",185 mi,275 Wh/mi,"1,759 kg",9.8 sec,201 mi,50.8 kWh,80 kW,0 kg,412 L,£181 /mi
BMW,i7 M70 xDrive,All Wheel Drive,F,5,"£163,315",305 mi,333 Wh/mi,"2,770 kg",3.7 sec,332 mi,101.7 kWh,159 kW,0 kg,500 L,£535 /mi
Porsche,Taycan 4S,All Wheel Drive,F,5,"£95,900",305 mi,270 Wh/mi,"2,245 kg",3.7 sec,380 mi,82.3 kWh,195 kW,0 kg,491 L,£314 /mi
CUPRA,Born 77 kWh e-Boost,Rear Wheel Drive,C,5,"£41,795",285 mi,270 Wh/mi,"1,969 kg",7.0 sec,318 mi,77.0 kWh,125 kW,0 kg,385 L,£147 /mi
Suzuki,e VITARA 49 kWh 2WD,Front Wheel Drive,B,5,"£29,999",165 mi,290 Wh/mi,"1,775 kg",9.6 sec,154 mi,47.8 kWh,45 kW,750 kg,238 L,£182 /mi
Polestar,5 Performance,All Wheel Drive,F,4,"£104,900",330 mi,321 Wh/mi,"2,465 kg",3.2 sec,396 mi,106.0 kWh,210 kW,"1,800 kg",427 L,£318 /mi
Porsche,Macan 4 Electric(MY26),All Wheel Drive,D,5,"£71,900",295 mi,322 Wh/mi,"2,405 kg",5.2 sec,350 mi,95.0 kWh,200 kW,"2,500 kg",624 L,£244 /mi
Kia,Soul EV 64 kWh,Front Wheel Drive,B,5,"£39,075",225 mi,284 Wh/mi,"1,757 kg",7.9 sec,213 mi,64.0 kWh,64 kW,0 kg,315 L,£174 /mi
Citroën,ë-Berlingo XL 50 kWh,Front Wheel Drive,N,7,"£30,640",145 mi,345 Wh/mi,"1,881 kg",11.7 sec,150 mi,50.0 kWh,80 kW,750 kg,"1,050 L",£211 /mi
Audi,Q6 SUV e-tron performance,Rear Wheel Drive,D,5,"£63,475",300 mi,316 Wh/mi,"2,275 kg",6.6 sec,354 mi,94.9 kWh,190 kW,"2,000 kg",590 L,£212 /mi
Audi,Q6 SUV e-tron,Rear Wheel Drive,D,5,"£59,975",245 mi,309 Wh/mi,"2,200 kg",7.0 sec,285 mi,75.8 kWh,150 kW,"2,000 kg",590 L,£245 /mi
Volkswagen,ID.4 1st,Rear Wheel Drive,C,5,"£40,800",255 mi,302 Wh/mi,"2,124 kg",8.5 sec,271 mi,77.0 kWh,125 kW,"1,000 kg",543 L,£160 /mi
Volkswagen,ID. Buzz Pro,Rear Wheel Drive,N,5,"£59,035",210 mi,367 Wh/mi,"2,459 kg",10.2 sec,229 mi,77.0 kWh,115 kW,"1,000 kg","1,121 L",£281 /mi
Mercedes-Benz,EQE 300(MY23),Rear Wheel Drive,E,5,"£68,810",325 mi,274 Wh/mi,"2,405 kg",7.3 sec,352 mi,89.0 kWh,120 kW,750 kg,430 L,£212 /mi
Mercedes-Benz,EQS SUV 450 4MATIC,All Wheel Drive,F,7,"£129,470",325 mi,363 Wh/mi,"2,840 kg",6.1 sec,337 mi,118.0 kWh,160 kW,"1,800 kg",645 L,£398 /mi
Mercedes-Benz,EQS AMG 53 4MATIC+,All Wheel Drive,F,5,"£161,860",365 mi,323 Wh/mi,"2,700 kg",3.4 sec,385 mi,118.0 kWh,160 kW,"1,700 kg",620 L,£443 /mi
Ford,Mustang Mach-E Premium AWD(MY24),All Wheel Drive,D,5,"£58,415",275 mi,331 Wh/mi,"2,245 kg",4.6 sec,278 mi,91.0 kWh,115 kW,"1,500 kg",619 L,£212 /mi
Škoda,Enyaq vRS(MY25),All Wheel Drive,C,5,"£51,960",285 mi,277 Wh/mi,"2,236 kg",5.4 sec,323 mi,79.0 kWh,135 kW,"1,200 kg",585 L,£182 /mi
Vauxhall,Corsa Electric 50 kWh(MY25),Front Wheel Drive,B,5,"£26,005",180 mi,257 Wh/mi,"1,544 kg",8.7 sec,198 mi,46.3 kWh,78 kW,0 kg,267 L,£144 /mi
Peugeot,e-308 SW 55 kWh(MY26),Front Wheel Drive,C,5,"£30,695",210 mi,264 Wh/mi,"1,783 kg",9.5 sec,216 mi,55.4 kWh,65 kW,0 kg,505 L,£146 /mi
Tesla,Model 3 Standard Range Plus(CATL LFP55),Rear Wheel Drive,D,5,"£40,990",215 mi,244 Wh/mi,"1,825 kg",5.6 sec,256 mi,52.5 kWh,95 kW,"1,000 kg",649 L,£191 /mi
